fz,inds,minerr,cmperr,df
10,100,2.06183118949704,2.19106168903314,5.08528973348361
20,100,1.609571862497,1.75605389478253,4.49599141130736
30,100,2.04800683029398,2.13835762676282,4.6068489447572
40,100,1.70646437349869,1.71353817406313,4.0566069381803
50,100,1.3440930431887,1.41686060569793,3.38973897204072
60,100,1.39402332472789,1.42428645857152,3.51286633990086
70,100,1.72278895834696,1.72907081979327,4.00288082569684
80,100,0.816141840196457,0.863404611090082,2.41536876102809
90,100,0.91875272295244,0.964080061928539,2.63598921689344
100,100,0.831919996360738,0.870459410309831,2.11779315067331
110,100,0.737332320024264,0.768939420833996,1.98890819184036
120,100,0.668799613763109,0.707045525800438,1.83771577447599
130,100,0.623808895268341,0.655344396422879,1.79510537038493
140,100,0.672479967389643,0.694007299359791,1.83213018592161
150,100,0.722080596027958,0.730396230151834,1.96941079103152
160,100,0.779237780399023,0.794241251221056,1.79002950860915
170,100,0.782045239338322,0.786576769913873,1.96696677444047
180,100,0.715622018711632,0.725957446973173,1.81194867341998
190,99,0.775740573364168,0.779114936448868,1.94881345131298
200,100,0.680696326376699,0.682933148217664,1.87766010374112
210,100,0.609176788791644,0.613341837681126,1.80876894744001
220,100,0.631836969886931,0.631836969886931,1.93920367131212
230,100,0.801851977189267,0.801851977189267,2.12422529600363
240,100,0.889662104347611,0.889662104347611,2.11185919089958
250,100,0.800448382002685,0.814788363900439,2.29587428804232
260,100,0.810110656123903,0.810119466004359,2.01319632754138
270,100,0.707893495422331,0.707893495422331,1.86933061590273
280,100,0.790035531050333,0.790035531050333,2.02842527822833
290,99,0.823687519386608,0.839423450214889,2.16155249055105
300,100,0.879650988466647,0.904196248293113,2.26270145918938
310,100,0.849059796009024,0.86953172115368,2.15486169395613
320,100,0.839388280371237,0.860712563054135,2.15222783565529
330,100,0.80745528924356,0.810016431936727,1.97633271595263
340,100,0.805242327861161,0.806770162561941,2.00441902320815
350,100,1.01638969648234,1.04294036078347,2.3105573642803
360,100,0.845150367951726,0.851181920245031,2.03028746324209
370,100,0.776517118706338,0.784951043408642,1.96335898297074
380,100,0.889225582840884,0.916474670648013,2.20523369523123
390,100,0.830833767062256,0.842622248227668,2.10904125140346
400,100,0.825837886595373,0.832764144508635,2.12032260107872
410,99,0.973439110878582,1.0086560615245,2.41093826549574
420,99,0.78700933560735,0.788473002148421,1.90748414806873
430,100,1.00993895649085,1.0413928668604,2.38847638731889
440,100,0.866682712981905,0.911577180767312,2.21189488186815
450,100,1.05985423709808,1.08529954161976,2.35701063349862
460,100,1.26579767006481,1.28474421614627,2.55526289285045
470,100,0.940147794815468,0.956622977331387,2.18500014348332
480,100,1.03147807029169,1.05213557690601,2.27075580042356
490,100,0.835916717063408,0.847973894468112,2.11326523089126
500,100,1.22566942564027,1.23949630492106,2.49743594805506
510,100,1.17599353391801,1.17902026590391,2.32491164425247
520,100,1.26962147071764,1.27688540545654,2.640560176317
530,100,1.49026591264988,1.50616203538248,2.92226262312518
540,100,1.09995334599834,1.10257233882463,2.49161654378371
550,100,1.12667459324527,1.13969481614058,2.65111595742537
560,100,1.34505864293011,1.38123959274082,3.13471480206691
570,100,1.19883785062883,1.22092315772827,3.12074239760706
580,100,1.80575413226919,1.92306018963338,4.18861538998731
590,99,1.34545052579951,1.39667002415245,3.5727806471046
600,100,1.52806262309966,1.57951948206676,4.01653029447606
